UKBID,everCpDK_count,everCpDC_count,detectedK_UKBID,detectedC_UKBID,detectedCK_UKBID
O60879,1.0,0.0,True,False,False
O60880,1.0,1.0,True,True,True
O60884,1.0,2.0,True,True,True
O60885,4.0,0.0,True,False,False
O60921,1.0,1.0,True,True,True
O60925,4.0,0.0,True,False,False
O60942,1.0,1.0,True,True,True
O75083,18.0,8.0,True,True,True
O75131,3.0,4.0,True,True,True
O75150,1.0,2.0,True,True,True
O75175,2.0,1.0,True,True,True
O75182,2.0,0.0,True,False,False
O75190,1.0,1.0,True,True,True
O75223,1.0,1.0,True,True,True
O75251,1.0,1.0,True,True,True
O75312,2.0,0.0,True,False,False
O75323,4.0,0.0,True,False,False
O75340,1.0,1.0,True,True,True
O75347,4.0,1.0,True,True,True
O75348,3.0,2.0,True,True,True
O75351,1.0,1.0,True,True,True
O75356,1.0,0.0,True,False,False
O75367,1.0,2.0,True,True,True
O75369,47.0,19.0,True,True,True
O75390,7.0,2.0,True,True,True
O75391,2.0,1.0,True,True,True
O75400,1.0,1.0,True,True,True
O75410,1.0,2.0,True,True,True
O75436,3.0,0.0,True,False,False
O75439,1.0,4.0,True,True,True
O75475,1.0,2.0,True,True,True
O75489,1.0,0.0,True,False,False
O75496,1.0,0.0,True,False,False
O75506,2.0,0.0,True,False,False
O75521,6.0,4.0,True,True,True
O75531,5.0,2.0,True,True,True
O75533,7.0,5.0,True,True,True
O75534,4.0,5.0,True,True,True
O75575,2.0,0.0,True,False,False
O75616,1.0,3.0,True,True,True
O75629,2.0,0.0,True,False,False
O75643,1.0,9.0,True,True,True
O75663,5.0,3.0,True,True,True
O75717,1.0,5.0,True,True,True
O75718,1.0,1.0,True,True,True
O75792,2.0,2.0,True,True,True
O75815,3.0,3.0,True,True,True
O75821,5.0,1.0,True,True,True
O75822,1.0,1.0,True,True,True
O75828,2.0,1.0,True,True,True
O75832,3.0,1.0,True,True,True
O75843,1.0,0.0,True,False,False
O75874,4.0,2.0,True,True,True
O75884,1.0,0.0,True,False,False
O75886,1.0,0.0,True,False,False
O75909,1.0,1.0,True,True,True
O75928,1.0,1.0,True,True,True
O75934,3.0,2.0,True,True,True
O75935,2.0,2.0,True,True,True
O75937,5.0,0.0,True,False,False
O75947,1.0,1.0,True,True,True
O75962,1.0,4.0,True,True,True
O75964,2.0,0.0,True,False,False
O76003,8.0,3.0,True,True,True
O76021,1.0,2.0,True,True,True
O76031,1.0,2.0,True,True,True
O76054,2.0,0.0,True,False,False
O76094,6.0,2.0,True,True,True
O77932,1.0,0.0,True,False,False
O94760,2.0,1.0,True,True,True
O94776,4.0,3.0,True,True,True
O94817,1.0,0.0,True,False,False
O94851,1.0,1.0,True,True,True
O94855,1.0,2.0,True,True,True
O94888,1.0,1.0,True,True,True
O94903,2.0,2.0,True,True,True
O94906,4.0,2.0,True,True,True
O94915,1.0,2.0,True,True,True
O94919,1.0,0.0,True,False,False
O94925,8.0,6.0,True,True,True
O94952,1.0,0.0,True,False,False
O94973,1.0,0.0,True,False,False
O94979,3.0,1.0,True,True,True
O95025,1.0,0.0,True,False,False
O95059,1.0,2.0,True,True,True
O95067,1.0,1.0,True,True,True
O95071,2.0,10.0,True,True,True
O95104,2.0,1.0,True,True,True
O95149,1.0,0.0,True,False,False
O95159,1.0,1.0,True,True,True
O95163,1.0,1.0,True,True,True
O95166,1.0,0.0,True,False,False
O95197,2.0,0.0,True,False,False
O95229,2.0,1.0,True,True,True
O95232,1.0,3.0,True,True,True
O95249,1.0,0.0,True,False,False
O95292,1.0,1.0,True,True,True
O95295,1.0,1.0,True,True,True
O95336,5.0,3.0,True,True,True
O95340,4.0,5.0,True,True,True
O95347,7.0,6.0,True,True,True
O95359,1.0,1.0,True,True,True
O95361,1.0,0.0,True,False,False
O95372,5.0,3.0,True,True,True
O95373,1.0,2.0,True,True,True
O95376,2.0,1.0,True,True,True
O95379,2.0,1.0,True,True,True
O95394,2.0,2.0,True,True,True
O95433,4.0,1.0,True,True,True
O95456,6.0,3.0,True,True,True
O95470,1.0,0.0,True,False,False
O95478,1.0,1.0,True,True,True
O95479,2.0,0.0,True,False,False
O95486,1.0,1.0,True,True,True
O95551,1.0,1.0,True,True,True
O95571,2.0,5.0,True,True,True
O95573,1.0,2.0,True,True,True
O95628,1.0,1.0,True,True,True
O95639,3.0,2.0,True,True,True
O95707,1.0,1.0,True,True,True
O95721,1.0,0.0,True,False,False
O95747,4.0,1.0,True,True,True
O95749,2.0,0.0,True,False,False
O95754,1.0,0.0,True,False,False
O95757,3.0,3.0,True,True,True
O95758,4.0,3.0,True,True,True
O95777,1.0,0.0,True,False,False
O95782,3.0,0.0,True,False,False
O95810,2.0,0.0,True,False,False
O95816,5.0,2.0,True,True,True
O95817,3.0,3.0,True,True,True
O95833,4.0,3.0,True,True,True
O95848,1.0,0.0,True,False,False
O95865,2.0,1.0,True,True,True
O95881,4.0,1.0,True,True,True
O95980,1.0,0.0,True,False,False
O95994,1.0,1.0,True,True,True
O95999,2.0,2.0,True,True,True
O96007,2.0,0.0,True,False,False
O96008,1.0,1.0,True,True,True
O96013,2.0,2.0,True,True,True
O96019,3.0,3.0,True,True,True
P00167,1.0,0.0,True,False,False
P00338,16.0,5.0,True,True,True
P00367,10.0,3.0,True,True,True
P00374,2.0,0.0,True,False,False
P00387,4.0,1.0,True,True,True
P00491,6.0,3.0,True,True,True
P00492,9.0,3.0,True,True,True
P00505,11.0,4.0,True,True,True
P00558,30.0,7.0,True,True,True
P00568,6.0,1.0,True,True,True
P00813,7.0,5.0,True,True,True
P01008,1.0,0.0,True,False,False
P01033,2.0,3.0,True,True,True
P02545,26.0,4.0,True,True,True
P02749,1.0,0.0,True,False,False
P02766,1.0,0.0,True,False,False
P02768,2.0,0.0,True,False,False
P02786,2.0,0.0,True,False,False
P02792,2.0,0.0,True,False,False
